identifier,filename,clipId,start,end
ATMA,split_63_2020-06-03_05_39_25.wav,63,2727866,2775866
ATMA,split_64_2020-06-03_05_39_25.wav,64,2820472,2868472
ATMA,split_0_2020-06-03_05_40_18.wav,0,44248,92248
ATMA,split_1_2020-06-03_05_40_18.wav,1,130837,178837
ATMA,split_2_2020-06-03_05_40_18.wav,2,154538,202538
ATMA,split_3_2020-06-03_05_40_18.wav,3,188181,236181
ATMA,split_4_2020-06-03_05_40_18.wav,4,273433,321433
ATMA,split_5_2020-06-03_05_40_18.wav,5,321257,369257
ATMA,split_6_2020-06-03_05_40_18.wav,6,399488,447488
ATMA,split_7_2020-06-03_05_40_18.wav,7,449045,497045
ATMA,split_8_2020-06-03_05_40_18.wav,8,479616,527616
ATMA,split_9_2020-06-03_05_40_18.wav,9,565964,613964
ATMA,split_10_2020-06-03_05_40_18.wav,10,642778,690778
ATMA,split_11_2020-06-03_05_40_18.wav,11,719798,767798
ATMA,split_12_2020-06-03_05_40_18.wav,12,795774,843774
ATMA,split_13_2020-06-03_05_40_18.wav,13,864880,912880
ATMA,split_14_2020-06-03_05_40_18.wav,14,904949,952949
ATMA,split_15_2020-06-03_05_40_18.wav,15,929900,977900
ATMA,split_16_2020-06-03_05_40_18.wav,16,972619,1020619
ATMA,split_17_2020-06-03_05_40_18.wav,17,1011045,1059045
ATMA,split_18_2020-06-03_05_40_18.wav,18,1048180,1096180
ATMA,split_19_2020-06-03_05_40_18.wav,19,1142188,1190188
ATMA,split_20_2020-06-03_05_40_18.wav,20,1154654,1202654
ATMA,split_21_2020-06-03_05_40_18.wav,21,1214561,1262561
ATMA,split_22_2020-06-03_05_40_18.wav,22,1313766,1361766
ATMA,split_23_2020-06-03_05_40_18.wav,23,1369935,1417935
ATMA,split_24_2020-06-03_05_40_18.wav,24,1391001,1439001
ATMA,split_25_2020-06-03_05_40_18.wav,25,1410716,1458716
ATMA,split_26_2020-06-03_05_40_18.wav,26,1571654,1619654
ATMA,split_27_2020-06-03_05_40_18.wav,27,1583396,1631396
ATMA,split_28_2020-06-03_05_40_18.wav,28,1660996,1708996
ATMA,split_29_2020-06-03_05_40_18.wav,29,1712641,1760641
ATMA,split_30_2020-06-03_05_40_18.wav,30,1814366,1862366
ATMA,split_31_2020-06-03_05_40_18.wav,31,1880142,1928142
ATMA,split_32_2020-06-03_05_40_18.wav,32,1917668,1965668
ATMA,split_33_2020-06-03_05_40_18.wav,33,1936692,1984692
ATMA,split_34_2020-06-03_05_40_18.wav,34,1975185,2023185
ATMA,split_35_2020-06-03_05_40_18.wav,35,2010943,2058943
ATMA,split_36_2020-06-03_05_40_18.wav,36,2035803,2083803
ATMA,split_37_2020-06-03_05_40_18.wav,37,2063559,2111559
ATMA,split_0_2020-06-03_05_40_44.wav,0,5300,53300
ATMA,split_1_2020-06-03_05_40_44.wav,1,32320,80320
ATMA,split_2_2020-06-03_05_40_44.wav,2,71220,119220
ATMA,split_3_2020-06-03_05_40_44.wav,3,104571,152571
ATMA,split_4_2020-06-03_05_40_44.wav,4,135071,183071
ATMA,split_5_2020-06-03_05_40_44.wav,5,178684,226684
ATMA,split_6_2020-06-03_05_40_44.wav,6,255612,303612
ATMA,split_7_2020-06-03_05_40_44.wav,7,304030,352030
ATMA,split_8_2020-06-03_05_40_44.wav,8,378505,426505
ATMA,split_9_2020-06-03_05_40_44.wav,9,411378,459378
ATMA,split_10_2020-06-03_05_40_44.wav,10,461121,509121
ATMA,split_11_2020-06-03_05_40_44.wav,11,481966,529966
ATMA,split_12_2020-06-03_05_40_44.wav,12,579624,627624
ATMA,split_13_2020-06-03_05_40_44.wav,13,597692,645692
ATMA,split_14_2020-06-03_05_40_44.wav,14,628778,676778
ATMA,split_15_2020-06-03_05_40_44.wav,15,724818,772818
ATMA,split_16_2020-06-03_05_40_44.wav,16,743801,791801
ATMA,split_17_2020-06-03_05_40_44.wav,17,823970,871970
ATMA,split_18_2020-06-03_05_40_44.wav,18,844143,892143
ATMA,split_19_2020-06-03_05_40_44.wav,19,893767,941767
ATMA,split_20_2020-06-03_05_40_44.wav,20,944798,992798
ATMA,split_21_2020-06-03_05_40_44.wav,21,968710,1016710
ATMA,split_22_2020-06-03_05_40_44.wav,22,1082880,1130880
ATMA,split_23_2020-06-03_05_40_44.wav,23,1107720,1155720
ATMA,split_24_2020-06-03_05_40_44.wav,24,1123171,1171171
ATMA,split_25_2020-06-03_05_40_44.wav,25,1158592,1206592
ATMA,split_26_2020-06-03_05_40_44.wav,26,1204896,1252896
ATMA,split_27_2020-06-03_05_40_44.wav,27,1271190,1319190
ATMA,split_28_2020-06-03_05_40_44.wav,28,1337058,1385058
ATMA,split_29_2020-06-03_05_40_44.wav,29,1396850,1444850
ATMA,split_30_2020-06-03_05_40_44.wav,30,1461815,1509815
ATMA,split_31_2020-06-03_05_40_44.wav,31,1499481,1547481
ATMA,split_32_2020-06-03_05_40_44.wav,32,1581992,1629992
ATMA,split_33_2020-06-03_05_40_44.wav,33,1595531,1643531
ATMA,split_34_2020-06-03_05_40_44.wav,34,1686604,1734604
ATMA,split_35_2020-06-03_05_40_44.wav,35,1727629,1775629
ATMA,split_36_2020-06-03_05_40_44.wav,36,1854095,1902095
ATMA,split_37_2020-06-03_05_40_44.wav,37,1919503,1967503
ATMA,split_38_2020-06-03_05_40_44.wav,38,1988538,2036538
ATMA,split_0_2020-06-03_05_41_07.wav,0,10338,58338
ATMA,split_1_2020-06-03_05_41_07.wav,1,23014,71014
ATMA,split_2_2020-06-03_05_41_07.wav,2,109971,157971
ATMA,split_3_2020-06-03_05_41_07.wav,3,280927,328927
ATMA,split_4_2020-06-03_05_41_07.wav,4,350233,398233
ATMA,split_5_2020-06-03_05_41_07.wav,5,378916,426916
ATMA,split_6_2020-06-03_05_41_07.wav,6,511618,559618
ATMA,split_7_2020-06-03_05_41_07.wav,7,569717,617717
ATMA,split_8_2020-06-03_05_41_07.wav,8,605340,653340
ATMA,split_9_2020-06-03_05_41_07.wav,9,684298,732298
ATMA,split_10_2020-06-03_05_41_07.wav,10,765547,813547
ATMA,split_11_2020-06-03_05_41_07.wav,11,873059,921059
ATMA,split_12_2020-06-03_05_41_07.wav,12,923462,971462
ATMA,split_13_2020-06-03_05_41_07.wav,13,1027181,1075181
ATMA,split_14_2020-06-03_05_41_07.wav,14,1059695,1107695
ATMA,split_15_2020-06-03_05_41_07.wav,15,1079220,1127220
ATMA,split_16_2020-06-03_05_41_07.wav,16,1149848,1197848
